,Bundesland,Landkreis,date,infected,log(infected+1)
3487,Sachsen,Görlitz Städte,20-03,4.0,1.6094379124341003
3488,Sachsen,Löbau-Zittau,20-03,4.0,1.6094379124341003
3489,Sachsen,Niederschlesischer Oberlausitzkreis,20-03,4.0,1.6094379124341003
3490,Niedersachsen,Göttingen,20-03,21.0,3.091042453358316
3491,Niedersachsen,Osterode,20-03,21.0,3.091042453358316
3492,Sachsen-Anhalt,Halberstadt,20-03,4.0,1.6094379124341003
3493,Sachsen-Anhalt,Quedlinburg,20-03,4.0,1.6094379124341003
3494,Sachsen-Anhalt,Wernigerode,20-03,4.0,1.6094379124341003
3495,Sachsen,Leipziger Land,20-03,16.0,2.833213344056216
3496,Sachsen,Muldentalkreis,20-03,16.0,2.833213344056216
3497,Mecklenburg-Vorpommern,Ludwigslust,20-03,9.0,2.302585092994046
3498,Mecklenburg-Vorpommern,Parchim,20-03,9.0,2.302585092994046
3499,Sachsen-Anhalt,Mansfelder Land,20-03,2.0,1.0986122886681098
3500,Sachsen-Anhalt,Sangerhausen,20-03,2.0,1.0986122886681098
3501,Mecklenburg-Vorpommern,Demmin,20-03,6.0,1.9459101490553132
3502,Mecklenburg-Vorpommern,Mecklenburg-Strelitz,20-03,6.0,1.9459101490553132
3503,Mecklenburg-Vorpommern,Müritz,20-03,6.0,1.9459101490553132
3504,Mecklenburg-Vorpommern,Neubrandenburg Städte,20-03,6.0,1.9459101490553132
3505,Sachsen,Meißen,20-03,10.0,2.3978952727983707
3506,Sachsen,Riesa-Großenhain,20-03,10.0,2.3978952727983707
3507,Sachsen,Delitzsch,20-03,4.0,1.6094379124341003
3508,Sachsen,Torgau-Oschatz,20-03,4.0,1.6094379124341003
3509,Mecklenburg-Vorpommern,Nordwestmecklenburg,20-03,8.0,2.1972245773362196
3510,Mecklenburg-Vorpommern,Wismar Städte,20-03,8.0,2.1972245773362196
3511,Mecklenburg-Vorpommern,Bad Doberan,20-03,8.0,2.1972245773362196
3512,Mecklenburg-Vorpommern,Güstrow,20-03,8.0,2.1972245773362196
3513,Sachsen-Anhalt,Merseburg-Querfurt,20-03,6.0,1.9459101490553132
3514,Sachsen-Anhalt,Saalkreis,20-03,6.0,1.9459101490553132
3515,Sachsen,Sächsische Schweiz,20-03,20.0,3.044522437723423
3516,Sachsen,Weißeritzkreis,20-03,20.0,3.044522437723423
3517,Sachsen-Anhalt,Aschersleben-Staßfurt,20-03,4.0,1.6094379124341003
3518,Sachsen-Anhalt,Bernburg,20-03,4.0,1.6094379124341003
3519,Sachsen-Anhalt,Schönebeck,20-03,4.0,1.6094379124341003
3520,Sachsen,Plauen Städte,20-03,8.0,2.1972245773362196
3521,Sachsen,Vogtlandkreis,20-03,8.0,2.1972245773362196
3522,Mecklenburg-Vorpommern,Greifswald Städte,20-03,8.0,2.1972245773362196
3523,Mecklenburg-Vorpommern,Ostvorpommern,20-03,8.0,2.1972245773362196
3524,Mecklenburg-Vorpommern,Uecker-Randow,20-03,8.0,2.1972245773362196
3525,Mecklenburg-Vorpommern,Nordvorpommern,20-03,4.0,1.6094379124341003
3526,Mecklenburg-Vorpommern,Rügen,20-03,4.0,1.6094379124341003
3527,Mecklenburg-Vorpommern,Stralsund Städte,20-03,4.0,1.6094379124341003
3528,Sachsen-Anhalt,Burgenlandkreis,20-03,7.0,2.0794415416798357
3529,Sachsen-Anhalt,Weißenfels,20-03,7.0,2.0794415416798357
